Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,City,Time_taken (min),distance
33.0,4.9,Fog,Medium,2,0.0,0.0,Urban,18,9.193021332844554
25.0,5.0,Windy,Medium,1,0.0,0.0,,23,9.080778370527955
27.0,4.9,Sandstorms,Low,1,0.0,0.0,Metropolitian,19,1.5263732188913397
36.0,4.6,Cloudy,Jam,0,3.0,0.0,Urban,50,16.722543155307
37.0,4.5,Cloudy,Low,1,1.0,0.0,Metropolitian,37,16.636744591831217
32.0,4.7,Sunny,Jam,1,1.0,0.0,Urban,19,9.060367241167752
26.0,4.6,Sunny,Low,0,1.0,0.0,Metropolitian,28,17.074879617078196
20.0,4.9,Sunny,Low,2,0.0,0.0,Urban,16,1.5126653201046325
31.0,4.9,Sandstorms,Low,2,1.0,0.0,Metropolitian,24,1.5525569843004512
28.0,4.8,Fog,Medium,0,1.0,1.0,Metropolitian,43,12.25768788680288
20.0,4.6,Windy,Jam,0,1.0,0.0,Urban,35,10.864870498856764
24.0,4.9,Sandstorms,Medium,1,0.0,0.0,Urban,18,10.866215152975023
28.0,4.7,Sandstorms,Medium,2,0.0,0.0,Metropolitian,28,6.2101379656240985
29.0,4.5,Sunny,Jam,0,0.0,1.0,Urban,53,7.7625474744641085
26.0,5.0,Fog,Jam,2,1.0,0.0,Metropolitian,23,7.546800541055753
21.0,4.8,Cloudy,Low,1,1.0,0.0,Metropolitian,15,7.7626058902454
25.0,4.8,Fog,Low,2,0.0,0.0,Metropolitian,20,10.58681760722298
24.0,4.7,Cloudy,Low,1,0.0,0.0,Metropolitian,21,17.138295790539786
37.0,4.5,Fog,Jam,2,0.0,0.0,Metropolitian,28,7.448412467877649
22.0,4.5,Sandstorms,High,1,1.0,0.0,Metropolitian,23,6.232341754608859
36.0,4.5,Fog,Medium,0,1.0,0.0,Metropolitian,38,10.602467987619509
22.0,4.3,Stormy,Jam,0,,0.0,Urban,37,7.573225613488764
33.0,3.8,Stormy,Jam,1,0.0,0.0,Metropolitian,34,12.418408999826822
32.0,4.9,Stormy,Medium,2,1.0,0.0,Metropolitian,34,7.5735237341835395
20.0,4.6,Windy,Low,1,0.0,0.0,Metropolitian,19,3.105091096509636
36.0,4.1,Windy,Jam,1,0.0,0.0,Metropolitian,33,4.6576549370601725
33.0,4.6,Cloudy,Medium,0,1.0,0.0,Metropolitian,47,16.47695255795527
22.0,4.5,Stormy,Medium,1,1.0,0.0,Urban,28,5.958847028253639
20.0,4.2,Stormy,Low,0,1.0,0.0,Metropolitian,24,3.087996686128697
35.0,5.0,Sunny,High,2,1.0,0.0,Urban,22,6.08153593718375
37.0,4.7,Stormy,Low,1,1.0,0.0,Urban,19,19.76027880154466
33.0,4.8,Cloudy,Jam,1,1.0,0.0,Metropolitian,26,7.7194548466544495
26.0,4.1,Stormy,Low,0,0.0,0.0,Metropolitian,17,7.57343592001983
39.0,4.9,Stormy,Low,1,1.0,0.0,,23,12.292599798532462
32.0,5.0,Cloudy,Medium,2,1.0,0.0,Metropolitian,15,7.448303502970493
38.0,4.5,Windy,Low,2,0.0,0.0,Metropolitian,21,4.46931202175492
33.0,4.5,Windy,Low,2,0.0,0.0,Metropolitian,24,16.90249592854745
29.0,4.9,Windy,Low,1,0.0,0.0,,11,9.07484893630857
26.0,4.8,Stormy,Low,1,1.0,0.0,Metropolitian,19,4.4691938252042425
20.0,4.8,Fog,Medium,2,2.0,0.0,Metropolitian,39,13.830206237242956
21.0,5.0,Stormy,Jam,2,0.0,0.0,Metropolitian,25,12.421242442902573
22.0,5.0,Sunny,Low,0,1.0,0.0,Metropolitian,14,4.469162258883671
36.0,4.8,Cloudy,Medium,0,1.0,0.0,Urban,36,12.239035527316306
33.0,4.7,Stormy,High,0,1.0,0.0,Metropolitian,30,2.99622781801802
39.0,4.7,Fog,Low,2,0.0,0.0,Metropolitian,15,1.554514382186963
30.0,4.8,Stormy,Low,2,0.0,0.0,Metropolitian,26,9.15764892567092
